,Run,K,M,J,a,b,eig1,eig2
0,1,1,10,10,6.071795411739975,1.966763324075374,2,4
1,1,1,10,20,6.112527973770742,1.972428194353812,2,4
2,1,1,10,30,6.125627803858514,1.974256770794937,2,4
3,1,1,10,40,6.131581571799999,1.975049069405688,2,4
4,1,1,10,50,6.1361539615538945,1.9756783176025736,2,4
5,1,1,10,60,6.1388790388149985,1.9760700536878608,2,4
6,1,1,20,10,6.11407813403075,1.973248042002671,2,4
7,1,1,20,20,6.132427410838253,1.975745273767506,2,4
8,1,1,20,30,6.139316821070579,1.9766966195260276,2,4
9,1,1,20,40,6.1425022116023955,1.977129057718845,2,4
10,1,1,20,50,6.144273920107513,1.9773636745350682,2,4
11,1,1,20,60,6.14566144015936,1.9775577872054582,2,4
12,1,1,30,10,6.131903727669571,1.9760423125947988,2,4
13,1,1,30,20,6.144911648069175,1.977836443954065,2,4
14,1,1,30,30,6.149282351490656,1.978440074872849,2,4
15,1,1,30,40,6.151492711246782,1.978744894959412,2,4
16,1,1,30,50,6.152778916284744,1.9789244304881983,2,4
17,1,1,30,60,6.1536687651234,1.9790455507780742,2,4
18,1,1,40,10,6.132456506193239,1.9758857152529548,2,4
19,1,1,40,20,6.14269208370404,1.9772960308522316,2,4
20,1,1,40,30,6.145866331811535,1.9777274012542945,2,4
21,1,1,40,40,6.1474986390054305,1.9779510516039698,2,4
22,1,1,40,50,6.148391069657917,1.9780763088191347,2,4
23,1,1,40,60,6.1490803943561785,1.9781647869853578,2,4
24,1,1,50,10,6.143085110239028,1.9776516660156949,2,4
25,1,1,50,20,6.150669266700087,1.9786939231394487,2,4
26,1,1,50,30,6.153392531346322,1.9790780976279885,2,4
27,1,1,50,40,6.154618748030365,1.979243787088537,2,4
28,1,1,50,50,6.155456129098038,1.9793605654090578,2,4
29,1,1,50,60,6.155923122592851,1.9794234302750484,2,4
30,1,1,60,10,6.145798057109413,1.97804425683614,2,4
31,1,1,60,20,6.152086984065178,1.9789059846063115,2,4
32,1,1,60,30,6.154248207926842,1.9792043016828564,2,4
33,1,1,60,40,6.155325278928474,1.9793519964061832,2,4
34,1,1,60,50,6.1559489672505645,1.9794377530182614,2,4
35,1,1,60,60,6.156379885297655,1.9794965260617072,2,4
36,1,10,10,10,1.8856323668188189,1.084914259897413,4,8
37,1,10,10,20,1.885840354363249,1.0845514091785327,4,8
38,1,10,10,30,1.8858063878400515,1.0844038678575434,4,8
39,1,10,10,40,1.8857234002782783,1.0842776336529991,4,8
40,1,10,10,50,1.885838095778935,1.084281251055192,4,8
41,1,10,10,60,1.8857899599716597,1.0842364750843816,4,8
42,1,10,20,10,1.8848924252759272,1.084244755680695,4,8
43,1,10,20,20,1.8845367399210846,1.0838220090491697,4,8
44,1,10,20,30,1.8846654368799807,1.083824530536252,4,8
45,1,10,20,40,1.884618449339366,1.083758138986224,4,8
46,1,10,20,50,1.8846727102084204,1.0837687588900158,4,8
47,1,10,20,60,1.884620305440294,1.0837201502353542,4,8
48,1,10,30,10,1.8824460527074263,1.082744748536436,4,8
49,1,10,30,20,1.8823938348723641,1.0825841442774304,4,8
50,1,10,30,30,1.8822777346186728,1.0824726555810378,4,8
51,1,10,30,40,1.8823429682714867,1.0824871033033672,4,8
52,1,10,30,50,1.8822998952861485,1.0824531069647836,4,8
53,1,10,30,60,1.8822636395459953,1.082420760746507,4,8
54,1,10,40,10,1.8809516804821693,1.0816535047801756,4,7
55,1,10,40,20,1.8809951272956549,1.0815668489845054,4,7
56,1,10,40,30,1.8810502183927904,1.0815605826905341,4,7
57,1,10,40,40,1.881054900853268,1.0815471089196278,4,7
58,1,10,40,50,1.8810137175402062,1.0815145662691303,4,7
59,1,10,40,60,1.8810298263766558,1.0815146430514715,4,7
60,1,10,50,10,1.8793675462568231,1.0808226780083456,4,7
61,1,10,50,20,1.8793273164933466,1.0807193920293394,4,7
62,1,10,50,30,1.8794301653249497,1.0807509360665843,4,7
63,1,10,50,40,1.879402254103272,1.0807213046202222,4,7
64,1,10,50,50,1.8794641661760316,1.0807473914281147,4,7
65,1,10,50,60,1.879413547483482,1.080711556635181,4,7
66,1,10,60,10,1.8785668744551776,1.0803071646417146,4,7
67,1,10,60,20,1.8786573452350046,1.0802951250941821,4,7
68,1,10,60,30,1.878588603706971,1.0802313721822543,4,7
69,1,10,60,40,1.8785713371129342,1.0802119415047735,4,7
70,1,10,60,50,1.87859612499847,1.0802204927947652,4,7
71,1,10,60,60,1.8785748415115608,1.0802020036841278,4,7
72,1,40,10,10,0.43562878555235446,0.3508974019854789,8,15
73,1,40,10,20,0.43594053034616986,0.3510286346839701,8,15
74,1,40,10,30,0.43601859283107114,0.351058654451956,8,15
75,1,40,10,40,0.4360641431032308,0.35106465838246753,8,15
76,1,40,10,50,0.43609658784208954,0.3510794750629681,8,15
77,1,40,10,60,0.43611198565582104,0.351085682789565,8,15
78,1,40,20,10,0.436004127151142,0.3508163071068722,8,14
79,1,40,20,20,0.43614197049819375,0.3508375572851364,8,14
80,1,40,20,30,0.43617118330587673,0.3508548537813662,8,14
81,1,40,20,40,0.4361945606060884,0.35085788332397433,8,14
82,1,40,20,50,0.4361986700866216,0.3508616556177902,8,14
83,1,40,20,60,0.43621503470949813,0.3508640041121009,8,14
84,1,40,30,10,0.4361683127829321,0.35064752553198986,8,13
85,1,40,30,20,0.43624275968717025,0.3506696110898941,8,13
86,1,40,30,30,0.43626753234164894,0.35066778342248,8,13
87,1,40,30,40,0.43628115087479136,0.350678425479152,8,13
88,1,40,30,50,0.4362847443955295,0.3506762752066579,8,13
89,1,40,30,60,0.43629095121563594,0.3506744238161418,8,13
90,1,40,40,10,0.43651279233927104,0.3506600823081142,8,13
91,1,40,40,20,0.43656099134848325,0.35067452689995215,8,13
92,1,40,40,30,0.4365751253899562,0.35068217772465843,8,13
93,1,40,40,40,0.43658221371594025,0.35068442086154605,8,13
94,1,40,40,50,0.4365941213383191,0.35068776252288536,8,13
95,1,40,40,60,0.4365906315717185,0.35068421991812326,8,13
96,1,40,50,10,0.436350276611503,0.3504246391917972,8,13
97,1,40,50,20,0.43639978903667154,0.35044121504923803,8,13
98,1,40,50,30,0.4364259348617974,0.35046513087059533,8,13
99,1,40,50,40,0.43643181767183975,0.3504638583301329,8,13
100,1,40,50,50,0.4364394827610763,0.3504733586826401,8,13
101,1,40,50,60,0.4364438375302326,0.3504702004310079,8,13
102,1,40,60,10,0.4364302325824112,0.35038991548139525,8,13
103,1,40,60,20,0.43646690426390156,0.3504122783266903,8,13
104,1,40,60,30,0.4364842198468944,0.35041364588396423,8,13
105,1,40,60,40,0.43648636688435455,0.35041191422920126,8,13
106,1,40,60,50,0.43649015053604023,0.3504160888708528,8,13
107,1,40,60,60,0.4364951461131455,0.3504161222916458,8,13
108,1,100,10,10,0.1777853562047054,0.15735330089777863,16,29
109,1,100,10,20,0.1778163785144448,0.15732920338463036,16,29
110,1,100,10,30,0.17781641967062273,0.1573146031257486,16,29
111,1,100,10,40,0.17781995718603985,0.15730346377402338,16,29
112,1,100,10,50,0.17782285187853755,0.15730107150171255,16,29
113,1,100,10,60,0.1778231392507857,0.1572986508937772,16,29
114,1,100,20,10,0.17785169130931117,0.1571902195279166,16,27
115,1,100,20,20,0.17786139099384723,0.15715730723232116,16,27
116,1,100,20,30,0.17785715438761088,0.15715117395918446,16,27
117,1,100,20,40,0.177858778758898,0.15714521309170176,16,27
118,1,100,20,50,0.17785572203579045,0.15714290038419199,16,27
119,1,100,20,60,0.1778593952766481,0.15714114288228298,16,27
120,1,100,30,10,0.177893433813264,0.1570711264377905,16,26
121,1,100,30,20,0.17789364471699398,0.157054182798074,16,26
122,1,100,30,30,0.17789384479232295,0.15704403672374076,16,26
123,1,100,30,40,0.17789413892692607,0.15704451576824174,16,26
124,1,100,30,50,0.17789263057462745,0.1570406847158151,16,26
125,1,100,30,60,0.17789320749925006,0.15703790528324,16,26
126,1,100,40,10,0.1780280138253932,0.15706711784389274,16,25
127,1,100,40,20,0.17802324571455846,0.15705187326467066,16,25
128,1,100,40,30,0.17802070347572876,0.15704818958914238,16,25
129,1,100,40,40,0.17801966678766132,0.1570456777368038,16,25
130,1,100,40,50,0.1780225156626431,0.15704543182296812,16,25
131,1,100,40,60,0.1780192296482266,0.1570419739883728,16,25
132,1,100,50,10,0.177955005303905,0.15694045434063114,16,25
133,1,100,50,20,0.177956632600452,0.1569315670906546,16,25
134,1,100,50,30,0.17796056052319636,0.15693740171230683,16,25
135,1,100,50,40,0.1779600015633579,0.15693401315814068,16,25
136,1,100,50,50,0.17796096252446894,0.15693683555219062,16,25
137,1,100,50,60,0.17796157466870216,0.1569341082386328,16,25
138,1,100,60,10,0.17798322437361092,0.1569173628580876,16,25
139,1,100,60,20,0.1779826394981928,0.15691429417683503,16,25
140,1,100,60,30,0.1779844939755828,0.1569100081790935,16,25
141,1,100,60,40,0.17798290989700197,0.15690687786823057,16,25
142,1,100,60,50,0.17798289265651945,0.15690756832120953,16,25
143,1,100,60,60,0.17798392374753444,0.1569066174903585,16,25
144,2,1,10,10,6.071795411739975,1.966763324075374,2,4
145,2,1,10,20,6.112527973770742,1.972428194353812,2,4
146,2,1,10,30,6.125627803858514,1.974256770794937,2,4
147,2,1,10,40,6.131581571799999,1.975049069405688,2,4
148,2,1,10,50,6.1361539615538945,1.9756783176025736,2,4
149,2,1,10,60,6.1388790388149985,1.9760700536878608,2,4
150,2,1,20,10,6.11407813403075,1.973248042002671,2,4
151,2,1,20,20,6.132427410838253,1.975745273767506,2,4
152,2,1,20,30,6.139316821070579,1.9766966195260276,2,4
153,2,1,20,40,6.1425022116023955,1.977129057718845,2,4
154,2,1,20,50,6.144273920107513,1.9773636745350682,2,4
155,2,1,20,60,6.14566144015936,1.9775577872054582,2,4
156,2,1,30,10,6.131903727669571,1.9760423125947988,2,4
157,2,1,30,20,6.144911648069175,1.977836443954065,2,4
158,2,1,30,30,6.149282351490656,1.978440074872849,2,4
159,2,1,30,40,6.151492711246782,1.978744894959412,2,4
160,2,1,30,50,6.152778916284744,1.9789244304881983,2,4
161,2,1,30,60,6.1536687651234,1.9790455507780742,2,4
162,2,1,40,10,6.132456506193239,1.9758857152529548,2,4
163,2,1,40,20,6.14269208370404,1.9772960308522316,2,4
164,2,1,40,30,6.145866331811535,1.9777274012542945,2,4
165,2,1,40,40,6.1474986390054305,1.9779510516039698,2,4
166,2,1,40,50,6.148391069657917,1.9780763088191347,2,4
167,2,1,40,60,6.1490803943561785,1.9781647869853578,2,4
168,2,1,50,10,6.143085110239028,1.9776516660156949,2,4
169,2,1,50,20,6.150669266700087,1.9786939231394487,2,4
170,2,1,50,30,6.153392531346322,1.9790780976279885,2,4
171,2,1,50,40,6.154618748030365,1.979243787088537,2,4
172,2,1,50,50,6.155456129098038,1.9793605654090578,2,4
173,2,1,50,60,6.155923122592851,1.9794234302750484,2,4
174,2,1,60,10,6.145798057109413,1.97804425683614,2,4
175,2,1,60,20,6.152086984065178,1.9789059846063115,2,4
176,2,1,60,30,6.154248207926842,1.9792043016828564,2,4
177,2,1,60,40,6.155325278928474,1.9793519964061832,2,4
178,2,1,60,50,6.1559489672505645,1.9794377530182614,2,4
179,2,1,60,60,6.156379885297655,1.9794965260617072,2,4
180,2,10,10,10,1.8856323668188189,1.084914259897413,4,8
181,2,10,10,20,1.885840354363249,1.0845514091785327,4,8
182,2,10,10,30,1.8858063878400515,1.0844038678575434,4,8
183,2,10,10,40,1.8857234002782783,1.0842776336529991,4,8
184,2,10,10,50,1.885838095778935,1.084281251055192,4,8
185,2,10,10,60,1.8857899599716597,1.0842364750843816,4,8
186,2,10,20,10,1.8848924252759272,1.084244755680695,4,8
187,2,10,20,20,1.8845367399210846,1.0838220090491697,4,8
188,2,10,20,30,1.8846654368799807,1.083824530536252,4,8
189,2,10,20,40,1.884618449339366,1.083758138986224,4,8
190,2,10,20,50,1.8846727102084204,1.0837687588900158,4,8
191,2,10,20,60,1.884620305440294,1.0837201502353542,4,8
192,2,10,30,10,1.8824460527074263,1.082744748536436,4,8
193,2,10,30,20,1.8823938348723641,1.0825841442774304,4,8
194,2,10,30,30,1.8822777346186728,1.0824726555810378,4,8
195,2,10,30,40,1.8823429682714867,1.0824871033033672,4,8
196,2,10,30,50,1.8822998952861485,1.0824531069647836,4,8
197,2,10,30,60,1.8822636395459953,1.082420760746507,4,8
198,2,10,40,10,1.8809516804821693,1.0816535047801756,4,7
199,2,10,40,20,1.8809951272956549,1.0815668489845054,4,7
200,2,10,40,30,1.8810502183927904,1.0815605826905341,4,7
201,2,10,40,40,1.881054900853268,1.0815471089196278,4,7
202,2,10,40,50,1.8810137175402062,1.0815145662691303,4,7
203,2,10,40,60,1.8810298263766558,1.0815146430514715,4,7
204,2,10,50,10,1.8793675462568231,1.0808226780083456,4,7
205,2,10,50,20,1.8793273164933466,1.0807193920293394,4,7
206,2,10,50,30,1.8794301653249497,1.0807509360665843,4,7
207,2,10,50,40,1.879402254103272,1.0807213046202222,4,7
208,2,10,50,50,1.8794641661760316,1.0807473914281147,4,7
209,2,10,50,60,1.879413547483482,1.080711556635181,4,7
210,2,10,60,10,1.8785668744551776,1.0803071646417146,4,7
211,2,10,60,20,1.8786573452350046,1.0802951250941821,4,7
212,2,10,60,30,1.878588603706971,1.0802313721822543,4,7
213,2,10,60,40,1.8785713371129342,1.0802119415047735,4,7
214,2,10,60,50,1.87859612499847,1.0802204927947652,4,7
215,2,10,60,60,1.8785748415115608,1.0802020036841278,4,7
216,2,40,10,10,0.43562878555235446,0.3508974019854789,8,15
217,2,40,10,20,0.43594053034616986,0.3510286346839701,8,15
218,2,40,10,30,0.43601859283107114,0.351058654451956,8,15
219,2,40,10,40,0.4360641431032308,0.35106465838246753,8,15
220,2,40,10,50,0.43609658784208954,0.3510794750629681,8,15
221,2,40,10,60,0.43611198565582104,0.351085682789565,8,15
222,2,40,20,10,0.436004127151142,0.3508163071068722,8,14
223,2,40,20,20,0.43614197049819375,0.3508375572851364,8,14
224,2,40,20,30,0.43617118330587673,0.3508548537813662,8,14
225,2,40,20,40,0.4361945606060884,0.35085788332397433,8,14
226,2,40,20,50,0.4361986700866216,0.3508616556177902,8,14
227,2,40,20,60,0.43621503470949813,0.3508640041121009,8,14
228,2,40,30,10,0.4361683127829321,0.35064752553198986,8,13
229,2,40,30,20,0.43624275968717025,0.3506696110898941,8,13
230,2,40,30,30,0.43626753234164894,0.35066778342248,8,13
231,2,40,30,40,0.43628115087479136,0.350678425479152,8,13
232,2,40,30,50,0.4362847443955295,0.3506762752066579,8,13
233,2,40,30,60,0.43629095121563594,0.3506744238161418,8,13
234,2,40,40,10,0.43651279233927104,0.3506600823081142,8,13
235,2,40,40,20,0.43656099134848325,0.35067452689995215,8,13
236,2,40,40,30,0.4365751253899562,0.35068217772465843,8,13
237,2,40,40,40,0.43658221371594025,0.35068442086154605,8,13
238,2,40,40,50,0.4365941213383191,0.35068776252288536,8,13
239,2,40,40,60,0.4365906315717185,0.35068421991812326,8,13
240,2,40,50,10,0.436350276611503,0.3504246391917972,8,13
241,2,40,50,20,0.43639978903667154,0.35044121504923803,8,13
242,2,40,50,30,0.4364259348617974,0.35046513087059533,8,13
243,2,40,50,40,0.43643181767183975,0.3504638583301329,8,13
244,2,40,50,50,0.4364394827610763,0.3504733586826401,8,13
245,2,40,50,60,0.4364438375302326,0.3504702004310079,8,13
246,2,40,60,10,0.4364302325824112,0.35038991548139525,8,13
247,2,40,60,20,0.43646690426390156,0.3504122783266903,8,13
248,2,40,60,30,0.4364842198468944,0.35041364588396423,8,13
249,2,40,60,40,0.43648636688435455,0.35041191422920126,8,13
250,2,40,60,50,0.43649015053604023,0.3504160888708528,8,13
251,2,40,60,60,0.4364951461131455,0.3504161222916458,8,13
252,2,100,10,10,0.1777853562047054,0.15735330089777863,16,29
253,2,100,10,20,0.1778163785144448,0.15732920338463036,16,29
254,2,100,10,30,0.17781641967062273,0.1573146031257486,16,29
255,2,100,10,40,0.17781995718603985,0.15730346377402338,16,29
256,2,100,10,50,0.17782285187853755,0.15730107150171255,16,29
257,2,100,10,60,0.1778231392507857,0.1572986508937772,16,29
258,2,100,20,10,0.17785169130931117,0.1571902195279166,16,27
259,2,100,20,20,0.17786139099384723,0.15715730723232116,16,27
260,2,100,20,30,0.17785715438761088,0.15715117395918446,16,27
261,2,100,20,40,0.177858778758898,0.15714521309170176,16,27
262,2,100,20,50,0.17785572203579045,0.15714290038419199,16,27
263,2,100,20,60,0.1778593952766481,0.15714114288228298,16,27
264,2,100,30,10,0.177893433813264,0.1570711264377905,16,26
265,2,100,30,20,0.17789364471699398,0.157054182798074,16,26
266,2,100,30,30,0.17789384479232295,0.15704403672374076,16,26
267,2,100,30,40,0.17789413892692607,0.15704451576824174,16,26
268,2,100,30,50,0.17789263057462745,0.1570406847158151,16,26
269,2,100,30,60,0.17789320749925006,0.15703790528324,16,26
270,2,100,40,10,0.1780280138253932,0.15706711784389274,16,25
271,2,100,40,20,0.17802324571455846,0.15705187326467066,16,25
272,2,100,40,30,0.17802070347572876,0.15704818958914238,16,25
273,2,100,40,40,0.17801966678766132,0.1570456777368038,16,25
274,2,100,40,50,0.1780225156626431,0.15704543182296812,16,25
275,2,100,40,60,0.1780192296482266,0.1570419739883728,16,25
276,2,100,50,10,0.177955005303905,0.15694045434063114,16,25
277,2,100,50,20,0.177956632600452,0.1569315670906546,16,25
278,2,100,50,30,0.17796056052319636,0.15693740171230683,16,25
279,2,100,50,40,0.1779600015633579,0.15693401315814068,16,25
280,2,100,50,50,0.17796096252446894,0.15693683555219062,16,25
281,2,100,50,60,0.17796157466870216,0.1569341082386328,16,25
282,2,100,60,10,0.17798322437361092,0.1569173628580876,16,25
283,2,100,60,20,0.1779826394981928,0.15691429417683503,16,25
284,2,100,60,30,0.1779844939755828,0.1569100081790935,16,25
285,2,100,60,40,0.17798290989700197,0.15690687786823057,16,25
286,2,100,60,50,0.17798289265651945,0.15690756832120953,16,25
287,2,100,60,60,0.17798392374753444,0.1569066174903585,16,25
288,3,1,10,10,6.071795411739975,1.966763324075374,2,4
289,3,1,10,20,6.112527973770742,1.972428194353812,2,4
290,3,1,10,30,6.125627803858514,1.974256770794937,2,4
291,3,1,10,40,6.131581571799999,1.975049069405688,2,4
292,3,1,10,50,6.1361539615538945,1.9756783176025736,2,4
293,3,1,10,60,6.1388790388149985,1.9760700536878608,2,4
294,3,1,20,10,6.11407813403075,1.973248042002671,2,4
295,3,1,20,20,6.132427410838253,1.975745273767506,2,4
296,3,1,20,30,6.139316821070579,1.9766966195260276,2,4
297,3,1,20,40,6.1425022116023955,1.977129057718845,2,4
298,3,1,20,50,6.144273920107513,1.9773636745350682,2,4
299,3,1,20,60,6.14566144015936,1.9775577872054582,2,4
300,3,1,30,10,6.131903727669571,1.9760423125947988,2,4
301,3,1,30,20,6.144911648069175,1.977836443954065,2,4
302,3,1,30,30,6.149282351490656,1.978440074872849,2,4
303,3,1,30,40,6.151492711246782,1.978744894959412,2,4
304,3,1,30,50,6.152778916284744,1.9789244304881983,2,4
305,3,1,30,60,6.1536687651234,1.9790455507780742,2,4
306,3,1,40,10,6.132456506193239,1.9758857152529548,2,4
307,3,1,40,20,6.14269208370404,1.9772960308522316,2,4
308,3,1,40,30,6.145866331811535,1.9777274012542945,2,4
309,3,1,40,40,6.1474986390054305,1.9779510516039698,2,4
310,3,1,40,50,6.148391069657917,1.9780763088191347,2,4
311,3,1,40,60,6.1490803943561785,1.9781647869853578,2,4
312,3,1,50,10,6.143085110239028,1.9776516660156949,2,4
313,3,1,50,20,6.150669266700087,1.9786939231394487,2,4
314,3,1,50,30,6.153392531346322,1.9790780976279885,2,4
315,3,1,50,40,6.154618748030365,1.979243787088537,2,4
316,3,1,50,50,6.155456129098038,1.9793605654090578,2,4
317,3,1,50,60,6.155923122592851,1.9794234302750484,2,4
318,3,1,60,10,6.145798057109413,1.97804425683614,2,4
319,3,1,60,20,6.152086984065178,1.9789059846063115,2,4
320,3,1,60,30,6.154248207926842,1.9792043016828564,2,4
321,3,1,60,40,6.155325278928474,1.9793519964061832,2,4
322,3,1,60,50,6.1559489672505645,1.9794377530182614,2,4
323,3,1,60,60,6.156379885297655,1.9794965260617072,2,4
324,3,10,10,10,1.8856323668188189,1.084914259897413,4,8
325,3,10,10,20,1.885840354363249,1.0845514091785327,4,8
326,3,10,10,30,1.8858063878400515,1.0844038678575434,4,8
327,3,10,10,40,1.8857234002782783,1.0842776336529991,4,8
328,3,10,10,50,1.885838095778935,1.084281251055192,4,8
329,3,10,10,60,1.8857899599716597,1.0842364750843816,4,8
330,3,10,20,10,1.8848924252759272,1.084244755680695,4,8
331,3,10,20,20,1.8845367399210846,1.0838220090491697,4,8
332,3,10,20,30,1.8846654368799807,1.083824530536252,4,8
333,3,10,20,40,1.884618449339366,1.083758138986224,4,8
334,3,10,20,50,1.8846727102084204,1.0837687588900158,4,8
335,3,10,20,60,1.884620305440294,1.0837201502353542,4,8
336,3,10,30,10,1.8824460527074263,1.082744748536436,4,8
337,3,10,30,20,1.8823938348723641,1.0825841442774304,4,8
338,3,10,30,30,1.8822777346186728,1.0824726555810378,4,8
339,3,10,30,40,1.8823429682714867,1.0824871033033672,4,8
340,3,10,30,50,1.8822998952861485,1.0824531069647836,4,8
341,3,10,30,60,1.8822636395459953,1.082420760746507,4,8
342,3,10,40,10,1.8809516804821693,1.0816535047801756,4,7
343,3,10,40,20,1.8809951272956549,1.0815668489845054,4,7
344,3,10,40,30,1.8810502183927904,1.0815605826905341,4,7
345,3,10,40,40,1.881054900853268,1.0815471089196278,4,7
346,3,10,40,50,1.8810137175402062,1.0815145662691303,4,7
347,3,10,40,60,1.8810298263766558,1.0815146430514715,4,7
348,3,10,50,10,1.8793675462568231,1.0808226780083456,4,7
349,3,10,50,20,1.8793273164933466,1.0807193920293394,4,7
350,3,10,50,30,1.8794301653249497,1.0807509360665843,4,7
351,3,10,50,40,1.879402254103272,1.0807213046202222,4,7
352,3,10,50,50,1.8794641661760316,1.0807473914281147,4,7
353,3,10,50,60,1.879413547483482,1.080711556635181,4,7
354,3,10,60,10,1.8785668744551776,1.0803071646417146,4,7
355,3,10,60,20,1.8786573452350046,1.0802951250941821,4,7
356,3,10,60,30,1.878588603706971,1.0802313721822543,4,7
357,3,10,60,40,1.8785713371129342,1.0802119415047735,4,7
358,3,10,60,50,1.87859612499847,1.0802204927947652,4,7
359,3,10,60,60,1.8785748415115608,1.0802020036841278,4,7
360,3,40,10,10,0.43562878555235446,0.3508974019854789,8,15
361,3,40,10,20,0.43594053034616986,0.3510286346839701,8,15
362,3,40,10,30,0.43601859283107114,0.351058654451956,8,15
363,3,40,10,40,0.4360641431032308,0.35106465838246753,8,15
364,3,40,10,50,0.43609658784208954,0.3510794750629681,8,15
365,3,40,10,60,0.43611198565582104,0.351085682789565,8,15
